China	TusPark (Jiangsu) Innovation Research Institute	Nanjing, China		31.953700000000005,118.83968148148153	1	https://www.iasp.ws/our-members/directory/@469392	469392	Science Park	Environment,Health & Pharmaceuticals,Other Electricity / Electrical Science and Technology,Other Energy Science and Technology
China	TusTown	Guian New Area, China		29.306366666666655,108.15594814814813	1	https://www.iasp.ws/our-members/directory/@469465	469465	Science Park	Environment,ICT & Communications
China	Vanke Industry Urban Development (Midwest) Parks - Phase I	Chengdu, China	http://www.vanke.com/	30.6080999,103.9919319	1	https://www.iasp.ws/our-members/directory/@470781	470781	Science Park	Cultural Industry and Humanities,ICT & Communications,Other Environmental Science and Technology
China	World Intelligent Incubation Network	Beijing, China	http://www.wiin-wiin.com	39.9075,116.39723	1	https://www.iasp.ws/our-members/directory/@470791	470791	Association	
China	Wu Jisong	Beijing, China		0,0	1	https://www.iasp.ws/our-members/directory/@15906	15906	Other	
China	Yidao Xinan (Beijing) Science and Technology Association	Beijing, China	http://www.ydxan.com	40.0420811,116.3093703	1	https://www.iasp.ws/our-members/directory/@472947	472947	Association	
China	Zhengzhou Hangmei International Smart Town	Beijing, China	http://www.xctech2016.com	39.9246353,116.394516	1	https://www.iasp.ws/our-members/directory/@470778	470778	Science Park	Artificial Intelligence Softwares,Computer Science and Hardwares
China	Zhengzhou National High & New Technology Industries Development Zone	Zhengzhou, China	http://www.zzgx.gov.cn/	34.8116267,113.5481503	1	https://www.iasp.ws/our-members/directory/@470760	470760	Science Park	ICT & Communications,Sensors and Instrumentation
China	Zhongguancun Fengtai Science Park	Beijing, China	http://www.zgc-ft.gov.cn	39,8342399597168,116,313209533691	1	https://www.iasp.ws/our-members/directory/@6065	6065	Science Park	Employee Education and Training,Energy,Manufacturing and Automation Technologies,Materials,Services for Business and Industry
China	Zhongguancun Haidian Science Park	Beijing, China	http://www.zhsp.gov.cn	39,9490852355957,116,301559448242	1	https://www.iasp.ws/our-members/directory/@6308	6308	Science Park	Computer Science and Hardwares,Energy,ICT & Communications,Manufacturing and Automation Technologies,Optics
China	Zhongguancun Science Park (Z-Park)	Beijing, China	http://www.zgc.gov.cn	39,9234466552734,116,294609069824	1	https://www.iasp.ws/our-members/directory/@6113	6113	Science Park	Biotechnology,Electronics,Energy,Materials
Chinese Taipei	Central Taiwan Science Park Bureau, Ministry of Science and Technology	Taichung City, Chinese Taipei	http://www.ctsp.gov.tw/english/01about/abo_future_prospects.aspx?v=20&fr=768&no=769	24,18078,120,62548	1	https://www.iasp.ws/our-members/directory/@6195	6195	Science Park	Biotechnology,ICT & Communications,Mechanics, Subassemblies, Components,Optics,Precision Engineering
Chinese Taipei	Hsinchu Science Park	Hsinchu, Chinese Taipei	http://www.sipa.gov.tw	24,779448,121,012881	1	https://www.iasp.ws/our-members/directory/@5951	5951	Science Park	Biotechnology,Computer Science and Hardwares,Electronics,ICT & Communications,Materials,Optics
Chinese Taipei	Southern Taiwan Science Park Bureau, Ministry of Science and Technology	Tainan City, Chinese Taipei	http://www.stsipa.gov.tw	23,1013431549072,120,282241821289	1	https://www.iasp.ws/our-members/directory/@5931	5931	Science Park	Biotechnology,Energy,ICT & Communications
Colombia	Corporación Universitaria Minuto de Dios - UNIMINUTO	Bogotá, Colombia	http://www.uniminuto.edu/	4,71712970733643,-74,1154479980469	1	https://www.iasp.ws/our-members/directory/@62401	62401	University / Higher Education Institution	
